Date,open,high,low,close,volume,unknown
2022-04-21,795.1,804,790.55,801.8,6851615,0
2022-04-20,800.85,802.45,788.6,794.7,6676491,0
2022-04-19,805,816.2,785.55,797.8,8711816,0
2022-04-18,780,801.65,776,798.85,11478317,0
2022-04-13,805.8,805.8,790.85,793.05,7640132,0
2022-04-12,780.1,801,777.8,798.45,7672215,0
2022-04-11,789.45,794.25,784.05,786.05,6340427,0
2022-04-08,794.9,800.7,789,794.9,8104237,0
2022-04-07,769.5,795,769.2,792.1,9820244,0
2022-04-06,777,779.95,769.2,773.7,9954921,0
2022-04-05,776,796,776,783.1,7334134,0
2022-04-04,780,785.5,767,784.1,10959783,0
2022-04-01,760,775.75,755.15,774.55,9321859,0
2022-03-31,763,763,751.3,761.15,20449544,0
2022-03-30,747,765.85,741.3,750.45,16618114,0
2022-03-29,741.65,741.65,731,737.8,6174137,0
2022-03-28,726,737.9,715.05,736,7077669,0
2022-03-25,723.3,726.65,715.5,721.25,5430894,0
2022-03-24,719.1,730.45,719,722.25,7559843,0
2022-03-23,736.1,742.9,724.65,726.75,5886245,0
2022-03-22,729,736,706.35,731.4,11117081,0
2022-03-21,745,749.4,723.7,725.9,7495685,0
2022-03-17,737,746.75,736.45,739.25,13657428,0
2022-03-16,711,726,709.1,723.85,10038170,0
2022-03-15,713,718,695,698.15,12157425,0
2022-03-14,694.7,712.4,685,710.05,10720884,0
2022-03-11,691.9,706.65,687.45,690.85,14224356,0
2022-03-10,707.9,720.4,688.25,694.95,23224756,0
2022-03-09,671.5,680.5,659.1,674.2,20438651,0
2022-03-08,665,673.75,637,670.4,24828458,0
2022-03-07,693,705,655.6,667.55,20147061,0
2022-03-04,723,732.5,710.05,715,11660648,0
2022-03-03,756,759.45,732.4,737.65,8357181,0
2022-03-02,728.7,756.45,725,750.25,11691602,0
2022-02-28,749.9,749.9,736.2,742.4,14463418,0
2022-02-25,742.3,764.85,737.4,758.05,10066136,0
2022-02-24,752.4,769.15,725.3,730.3,13085009,0
2022-02-23,783.5,785.5,772.25,777.2,6303173,0
2022-02-22,766.1,787,766.1,779.15,6923558,0
2022-02-21,783.55,796.8,776.1,788.85,5635224,0
2022-02-18,781.15,790.55,779,787.4,5466662,0
2022-02-17,797,802,780.5,782.8,6516308,0
2022-02-16,795,808.3,789.3,797.05,7457765,0
2022-02-15,777,799.1,764.3,796.95,7426563,0
2022-02-14,790,803,769.95,773.35,8617389,0
2022-02-11,800.95,809.9,798.5,803.8,9717894,0
2022-02-10,807.55,815.95,803.1,809.8,12848281,0
2022-02-09,801,809.5,800.15,803.85,9399830,0
2022-02-08,794,801,776.15,798.55,12300670,0
2022-02-07,802.5,803.6,784.1,789.6,10939179,0
2022-02-04,796.95,804.5,791.15,798.55,10776387,0
2022-02-03,802.2,811.9,793.05,799.55,10802708,0
2022-02-02,790,805.9,787.35,804.1,13478899,0
2022-02-01,778.1,793.9,769.1,781.9,15457534,0
2022-01-31,775.45,777.8,762.35,773.05,12319200,0
2022-01-28,778.1,784.7,761.5,764.7,17765524,0
2022-01-27,744,777,738.1,773.85,34927774,0
2022-01-25,714,755,708.6,752.2,38088158,0
2022-01-24,715,716.4,688.2,704.6,8812501,0
2022-01-21,722,725.25,708.05,712.5,10689060,0
2022-01-20,731.05,737.15,722.15,728.9,8505400,0
2022-01-19,725.2,731.95,718.7,729.6,7746270,0
2022-01-18,717.5,735.9,714.25,725.2,24055886,0
2022-01-17,719,720.6,709.5,712.65,19680557,0
2022-01-14,734.8,735.95,716.05,721.7,16302342,0
2022-01-13,749,749,737.05,740.7,5196538,0
2022-01-12,749.65,751.45,743.15,746.85,5294563,0
2022-01-11,742.9,747.05,737.3,743.25,7252279,0
2022-01-10,733.65,744,733.2,742.8,9595787,0
2022-01-07,734,740.9,725.25,730.6,10454143,0
2022-01-06,719.95,733.5,719,730.3,7955578,0
2022-01-05,711.9,730.9,707.75,726.9,11312955,0
2022-01-04,701,711.05,700.05,709.15,9705906,0
2022-01-03,680.25,698.5,679,696.35,8550860,0
2021-12-31,672.95,686.5,671.2,678.55,5586980,0
2021-12-30,668,673.1,664.5,668.85,5119705,0
2021-12-29,674.5,679.6,667.25,670.5,3969894,0
2021-12-28,677.3,680.85,672,675.45,4645547,0
2021-12-27,663.05,674.6,655.95,672.15,6996729,0
2021-12-24,681.15,682,662.45,667.5,6028893,0
2021-12-23,677,684.5,672.6,678.8,6884683,0
2021-12-22,670,676.85,664,669.35,7489534,0
2021-12-21,683,683,662.5,665.85,10116104,0
