,Date,open,high,low,close,volume,unknown,predicted_open,predicted_high,predicted_low,predicted_close
201,2007-10-23,57.0,60.0,56.2,57.97,6140605,0,60.05000305175781,62.268253326416016,54.38629913330078,57.8433952331543
202,2007-10-24,60.8,60.8,58.0,59.73,2968915,0,57.95901107788086,60.3010368347168,53.13413619995117,55.91943359375
203,2007-10-25,58.8,63.0,58.41,62.36,5310265,0,56.67532730102539,59.122802734375,53.31486511230469,55.512271881103516
204,2007-10-26,63.58,65.7,61.4,64.18,4876445,0,57.12846755981445,59.031856536865234,54.657562255859375,56.46195602416992
205,2007-10-29,64.6,65.94,64.6,65.22,1825315,0,57.93095779418945,60.03075408935547,56.32716369628906,58.448890686035156
206,2007-10-30,65.02,70.8,63.6,65.26,18674420,0,59.7022590637207,61.96428680419922,58.37862014770508,60.8802604675293
207,2007-10-31,66.2,69.88,65.38,68.65,8980465,0,61.83893585205078,63.93514633178711,60.901039123535156,63.13654327392578
208,2007-11-01,69.9,74.8,68.05,70.5,9252420,0,63.66383743286133,66.53321838378906,62.7984619140625,64.69195556640625
209,2007-11-02,68.0,75.38,66.02,74.44,7092215,0,65.0909423828125,68.62875366210938,64.21485900878906,66.27819061279297
210,2007-11-05,74.4,80.6,74.02,76.5,11984795,0,66.86819458007812,71.05583953857422,65.6984634399414,67.99980926513672
211,2007-11-06,79.8,79.98,71.21,71.98,3777235,0,67.93179321289062,73.24478149414062,66.3507080078125,70.33565521240234
212,2007-11-07,72.8,75.6,70.27,74.11,4898750,0,69.88607025146484,76.03598022460938,68.355224609375,72.93519592285156
213,2007-11-08,73.56,76.88,71.0,73.46,6273145,0,73.34516143798828,78.27872467041016,69.97509002685547,73.72806549072266
214,2007-11-09,74.01,74.36,72.0,72.92,453970,0,74.77616119384766,78.30963134765625,70.534912109375,73.77450561523438
215,2007-11-12,64.48,73.08,64.48,71.06,4633650,0,74.67621612548828,77.44206237792969,70.55845642089844,73.37284851074219
216,2007-11-13,72.2,75.18,71.0,74.68,4391965,0,74.04246520996094,75.81726837158203,70.63469696044922,72.73678588867188
217,2007-11-14,75.98,78.99,75.6,77.76,5377165,0,70.85570526123047,73.94364929199219,68.7880630493164,71.68714141845703
218,2007-11-15,78.76,78.76,76.66,77.31,1369070,0,69.21508026123047,73.08159637451172,68.06535339355469,71.67788696289062
219,2007-11-16,76.4,79.48,76.0,78.04,2657920,0,70.13434600830078,74.08513641357422,69.58935546875,73.14551544189453
220,2007-11-19,81.0,81.6,78.53,79.11,5651960,0,72.88204956054688,75.75635528564453,72.19446563720703,74.87321472167969
221,2007-11-20,78.0,79.8,75.26,76.91,2566570,0,75.0940933227539,77.42095184326172,74.35964965820312,76.3739242553711
222,2007-11-21,77.96,77.96,69.11,71.25,4225130,0,77.54011535644531,79.19580841064453,76.30962371826172,77.63880157470703
223,2007-11-22,72.0,74.0,68.82,71.8,3447150,0,78.70124053955078,80.08065032958984,76.76210021972656,77.8580093383789
224,2007-11-23,72.4,74.56,69.67,70.66,2139300,0,78.78426361083984,79.70862579345703,74.5757064819336,75.90961456298828
225,2007-11-26,71.94,73.18,71.0,71.98,2838140,0,76.69496154785156,77.73486328125,71.60078430175781,73.552490234375
226,2007-11-27,73.0,73.0,71.02,71.63,1150545,0,74.19468688964844,75.68958282470703,69.4775619506836,71.51592254638672
227,2007-11-28,72.0,73.78,71.42,72.55,2263460,0,72.2307357788086,73.9399185180664,68.82015991210938,70.5956039428711
